P(Deceptive) = -0.69314718056
P(Truthful) = -0.69314718056
P(Positive) = -0.69314718056
P(Negative) = -0.69314718056

Before smoothing
Words                   Deceptive     Truthful      Positive      Negative      
pending                           -10.1655248405          -11.5635995677          -11.3458313795          -10.3461842172          
crash                             -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
material                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
flew                              -10.4532069129          -10.464987279           -9.73639346707          -11.7324785784          
impressing                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
articles                          -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
admonished                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
standoffish                       -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
edit                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
billy                             -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
trap                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
hotline                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
bills                             -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
tray                              -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
lobbies                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
levy                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
related                           -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
remove                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
our                               -5.18879109806          -5.26833356626          -5.24775709734          -5.21480730546          
out                               -5.9460171353           -6.01063998278          -6.09880730735          -5.90353296076          
cocktail                          -9.60590905254          -9.36637499036          -8.6377811784           -11.7324785784          
chaos                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
disapointed                       -10.858672021           -10.1773052066          -10.2472190908          -10.6338662897          
disclose                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
ipod                              -9.06691255181          -9.36637499036          -8.70677404989          -9.78656842931          
bedbugs                           -9.94238128916          -11.5635995677          -11.3458313795          -10.1230406659          
vacations                         -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
dumpster                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
anyhow                            -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
organic                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
segregated                        -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
g                                 -10.858672021           -10.8704523871          -10.2472190908          -11.7324785784          
informs                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
fitzpatrick                       -11.5518192016          -9.61768941864          -10.6526841989          -9.94071910914          
illicit                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
filenes                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
hence                             -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
restaurants                       -7.96830026314          -7.59330765415          -7.09733613746          -8.7880395992           
museum                            -9.35459462426          -8.99865021024          -8.6377811784           -9.78656842931          
bouquet                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
echo                              -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
twas                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
destinations                      -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
gallet                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
watresses                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
accent                            -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
priority                          -10.4532069129          -10.1773052066          -10.2472190908          -10.3461842172          
their                             -6.28912901269          -6.74331800209          -6.60089925114          -6.42421088097          
lobbie                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
shelf                             -10.858672021           -10.1773052066          -10.2472190908          -10.6338662897          
shallow                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
regards                           -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
july                              -9.94238128916          -8.8555493666           -9.04324628651          -9.42989348538          
astounded                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
succeeded                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
boring                            -10.1655248405          -9.77184009847          -9.55407191028          -10.3461842172          
discriminating                    -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
patients                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
squealing                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
dusty                             -10.4532069129          -10.464987279           -11.3458313795          -10.1230406659          
clip                              -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
fowl                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
teenagers                         -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
alerted                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
unbearable                        -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
afraid                            -10.1655248405          -10.8704523871          -10.2472190908          -10.6338662897          
angle                             -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
rearranged                        -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
allergies                         -9.76005973237          -10.8704523871          -10.2472190908          -10.1230406659          
oozing                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
agency                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
bagel                             -11.5518192016          -10.464987279           -10.2472190908          -11.7324785784          
which                             -6.34781251452          -6.275332537            -6.204167823            -6.3901443264           
unbearably                        -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
centre                            -10.858672021           -9.77184009847          -9.39992123045          -11.7324785784          
who                               -7.12100240275          -7.30091969066          -7.41400574678          -7.08808767923          
alarmed                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
class                             -8.55608692804          -8.73038622364          -8.16777754916          -9.16752922091          
discourage                        -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
refreshing                        -10.4532069129          -10.1773052066          -9.95953701839          -10.6338662897          
saddest                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
neighboring                       -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
dent                              -10.4532069129          -10.8704523871          -11.3458313795          -10.3461842172          
looked                            -7.26135976045          -7.77940993378          -8.57324265727          -7.11735806153          
hi                                -10.858672021           -9.77184009847          -10.2472190908          -10.1230406659          
withiin                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
swarming                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
ho                                -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
brenda                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
chances                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
stove                             -10.1655248405          -11.5635995677          -10.2472190908          -11.0393313978          
tagged                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
planning                          -9.06691255181          -10.464987279           -9.26638983783          -9.78656842931          
utter                             -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
fear                              -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
pleased                           -8.25598233559          -8.79101084546          -7.88009547671          -9.33458330557          
filmed                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
mugs                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
gouging                           -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
operational                       -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
surroundings                      -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
deactivated                       -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
local                             -8.91276187198          -9.77184009847          -9.14860680217          -9.33458330557          
voss                              -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
watching                          -9.76005973237          -9.36637499036          -9.55407191028          -9.53525400103          
mainly                            -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
jackhammering                     -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
ones                              -9.2492341086           -9.61768941864          -9.55407191028          -9.33458330557          
cubs                              -10.858672021           -10.464987279           -10.2472190908          -11.0393313978          
words                             -9.47237765992          -10.464987279           -10.6526841989          -9.53525400103          
penetrate                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
chips                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
aroufn                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
married                           -9.47237765992          -10.8704523871          -9.39992123045          -10.6338662897          
affluent                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
plopped                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
generations                       -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
view                              -7.03003062455          -6.67325043948          -6.50164429305          -7.1475110997           
europe                            -10.1655248405          -10.1773052066          -9.39992123045          -11.7324785784          
fantastically                     -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
doormen                           -10.4532069129          -8.56786729414          -8.78088202205          -9.42989348538          
responses                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
closer                            -10.1655248405          -9.48415802602          -10.2472190908          -9.53525400103          
closes                            -10.858672021           -9.95416165526          -10.2472190908          -10.3461842172          
closet                            -9.94238128916          -8.34472374283          -9.55407191028          -8.55442474802          
superb                            -9.06691255181          -8.8555493666           -8.21033716358          -10.3461842172          
musky                             -10.4532069129          -10.8704523871          -11.3458313795          -10.3461842172          
favor                             -9.60590905254          -10.1773052066          -11.3458313795          -9.42989348538          
identification                    -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
closed                            -9.35459462426          -8.73038622364          -9.39992123045          -8.7880395992           
stories                           -10.1655248405          -10.464987279           -9.95953701839          -10.6338662897          
guestrooms                        -11.5518192016          -10.1773052066          -9.95953701839          -11.7324785784          
frustrated                        -10.4532069129          -9.95416165526          -10.6526841989          -9.94071910914          
bought                            -10.1655248405          -10.464987279           -10.2472190908          -10.3461842172          
shabbiness                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
ability                           -9.94238128916          -10.464987279           -9.73639346707          -10.6338662897          
opening                           -10.858672021           -9.36637499036          -9.95953701839          -9.78656842931          
joy                               -10.858672021           -10.8704523871          -10.2472190908          -11.7324785784          
beverages                         -10.858672021           -9.77184009847          -9.73639346707          -10.6338662897          
barefeet                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
job                               -8.77923047936          -8.99865021024          -8.86092472972          -8.89926523431          
joe                               -11.5518192016          -10.1773052066          -10.2472190908          -11.0393313978          
spoil                             -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
swift                             -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
refrigirator                      -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
broadside                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
april                             -10.858672021           -9.61768941864          -10.2472190908          -9.94071910914          
grain                             -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
atleast                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
clogged                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
safely                            -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
grounds                           -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
wall                              -9.2492341086           -7.92601340797          -9.39992123045          -8.01890651167          
tjhat                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
walk                              -8.0860832988           -7.12094831121          -7.01509803922          -8.01890651167          
table                             -9.76005973237          -8.92454223808          -9.73639346707          -9.02442837727          
incidentals                       -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
trays                             -11.5518192016          -10.1773052066          -11.3458313795          -10.3461842172          
unclean                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
decent                            -8.50729676387          -8.61916058853          -8.70677404989          -8.47438204035          
alters                            -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
hindi                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
reservations                      -8.18452337161          -8.42810535177          -8.70677404989          -8.09489241864          
mike                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
nickel                            -10.1655248405          -10.8704523871          -10.6526841989          -10.3461842172          
affraid                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
painted                           -10.858672021           -9.95416165526          -10.6526841989          -10.1230406659          
sufficient                        -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
jaded                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
crappy                            -10.1655248405          -10.1773052066          -10.6526841989          -9.94071910914          
hmm                               -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
ensuring                          -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
improved                          -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
present                           -10.858672021           -9.77184009847          -11.3458313795          -9.78656842931          
erin                              -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
unlike                            -10.4532069129          -10.464987279           -9.95953701839          -11.0393313978          
utensils                          -11.5518192016          -10.464987279           -10.2472190908          -11.7324785784          
overuse                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
vanilla                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
choices                           -9.47237765992          -9.77184009847          -9.95953701839          -9.42989348538          
will                              -6.01842971287          -6.33785289398          -6.06262765077          -6.24354085221          
stunning                          -9.35459462426          -9.77184009847          -8.70677404989          -11.7324785784          
wild                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
brioches                          -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
whirlpool                         -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
rename                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
layer                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
lakeside                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
thus                              -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
drips                             -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
layed                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
dual                              -10.4532069129          -11.5635995677          -10.6526841989          -11.0393313978          
ave                               -9.47237765992          -7.45272570352          -7.35684733294          -9.02442837727          
thud                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
perhaps                           -9.35459462426          -8.92454223808          -9.39992123045          -8.95988985613          
waitresses                        -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
cross                             -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
underwhelmed                      -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
member                            -8.98686984413          -8.92454223808          -8.94793610671          -8.95988985613          
largest                           -11.5518192016          -9.77184009847          -9.95953701839          -10.6338662897          
inch                              -9.47237765992          -9.95416165526          -9.39992123045          -9.94071910914          
gets                              -9.47237765992          -10.8704523871          -9.73639346707          -10.1230406659          
grandeur                          -10.4532069129          -10.8704523871          -10.6526841989          -10.6338662897          
difficult                         -9.2492341086           -8.79101084546          -9.95953701839          -8.64143612501          
succulent                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
promo                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
premiere                          -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
definately                        -9.76005973237          -8.92454223808          -8.45545962161          -11.0393313978          
folio                             -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
beast                             -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
plesant                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
student                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
vacationing                       -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
lobby                             -7.09747190534          -6.66575976775          -6.79195448791          -6.90416484107          
antipasta                         -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
antipasti                         -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
banging                           -10.4532069129          -10.464987279           -11.3458313795          -10.1230406659          
fighting                          -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
english                           -11.5518192016          -9.95416165526          -11.3458313795          -10.1230406659          
firstly                           -9.94238128916          -11.5635995677          -11.3458313795          -10.1230406659          
breaker                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
realised                          -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
lightbulb                         -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
routinely                         -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
rocket                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
heavily                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
wealthy                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
obtain                            -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
batteries                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
rocked                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
miniscule                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
lettuce                           -10.4532069129          -10.8704523871          -11.3458313795          -10.3461842172          
happiness                         -10.1655248405          -11.5635995677          -10.6526841989          -10.6338662897          
toilets                           -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
console                           -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
drunk                             -10.858672021           -10.1773052066          -11.3458313795          -10.1230406659          
smith                             -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
discuss                           -10.4532069129          -10.464987279           -10.2472190908          -10.6338662897          
concourse                         -10.858672021           -10.8704523871          -10.2472190908          -11.7324785784          
book                              -8.25598233559          -8.30550302968          -8.25478892615          -8.29849137388          
attractive                        -10.4532069129          -9.61768941864          -9.95953701839          -9.94071910914          
usage                             -10.858672021           -10.464987279           -10.2472190908          -11.0393313978          
knob                              -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
escorting                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
execute                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
frighteningly                     -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
know                              -7.50876793376          -7.63177393497          -7.84932381804          -7.41499046483          
facial                            -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
press                             -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
redesign                          -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
washrags                          -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
helpful                           -7.52646751086          -6.83621174899          -6.49380111559          -8.01890651167          
chuckled                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
rituals                           -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
january                           -11.5518192016          -9.61768941864          -9.95953701839          -10.3461842172          
agents                            -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
exceed                            -10.4532069129          -10.8704523871          -10.2472190908          -11.0393313978          
because                           -6.72350546429          -6.75957852296          -7.0417662863           -6.57918698387          
shabby                            -11.5518192016          -9.36637499036          -9.73639346707          -10.1230406659          
smoothly                          -10.4532069129          -10.8704523871          -10.2472190908          -11.0393313978          
elevators                         -10.1655248405          -7.802399452            -9.39992123045          -8.04359912426          
mattresses                        -10.4532069129          -9.95416165526          -10.6526841989          -9.94071910914          
scared                            -10.4532069129          -10.8704523871          -10.6526841989          -10.6338662897          
searching                         -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
demeanor                          -10.1655248405          -10.8704523871          -10.6526841989          -10.3461842172          
leaf                              -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
lead                              -10.4532069129          -10.464987279           -10.6526841989          -10.3461842172          
leak                              -10.4532069129          -10.8704523871          -10.6526841989          -10.6338662897          
leaded                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
earrings                          -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
patiently                         -10.4532069129          -11.5635995677          -10.6526841989          -11.0393313978          
locate                            -10.4532069129          -10.8704523871          -10.2472190908          -11.0393313978          
ripped                            -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
handedly                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
obel                              -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
nextspring                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
pasta                             -10.4532069129          -10.1773052066          -10.2472190908          -10.3461842172          
fluorescent                       -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
stay                              -5.20793876747          -5.40662058211          -5.1094617893           -5.45960157182          
screeching                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
rare                              -9.76005973237          -10.8704523871          -10.6526841989          -9.94071910914          
carried                           -9.94238128916          -11.5635995677          -10.6526841989          -10.3461842172          
unsurpassable                     -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
spilled                           -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
asha                              -10.1655248405          -11.5635995677          -10.2472190908          -11.0393313978          
perks                             -10.1655248405          -10.1773052066          -9.73639346707          -10.6338662897          
swear                             -10.4532069129          -11.5635995677          -11.3458313795          -10.6338662897          
sweat                             -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
customizing                       -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
pumps                             -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
panhandling                       -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
own                               -8.21961469142          -8.92454223808          -8.21033716358          -8.7880395992           
polished                          -10.4532069129          -11.5635995677          -10.2472190908          -11.7324785784          
travelers                         -9.60590905254          -9.36637499036          -9.95953701839          -9.24757192858          
warrants                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
weather                           -9.76005973237          -9.77184009847          -9.39992123045          -10.1230406659          
promise                           -9.76005973237          -9.61768941864          -10.6526841989          -9.33458330557          
registration                      -10.858672021           -9.36637499036          -9.95953701839          -9.78656842931          
desireable                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
eh                                -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
van                               -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
stucture                          -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
noxious                           -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
transfer                          -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
kidding                           -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
continental                       -9.1539239288           -9.1657042949           -8.86092472972          -9.42989348538          
intention                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
posters                           -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
triggered                         -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
funds                             -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
volume                            -10.858672021           -10.464987279           -11.3458313795          -10.3461842172          
mailed                            -10.858672021           -10.8704523871          -11.3458313795          -10.6338662897          
automated                         -10.1655248405          -11.5635995677          -11.3458313795          -10.3461842172          
made                              -6.57508545918          -6.94847905086          -6.78148318804          -6.72184328427          
temp                              -11.5518192016          -9.48415802602          -10.6526841989          -9.78656842931          
whether                           -9.1539239288           -10.464987279           -8.86092472972          -11.0393313978          
hardrock                          -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
record                            -9.94238128916          -9.95416165526          -11.3458313795          -9.53525400103          
below                             -9.76005973237          -8.6732278098           -9.95953701839          -8.73674630482          
cake                              -9.47237765992          -9.61768941864          -9.14860680217          -9.94071910914          
rickety                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
unfolding                         -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
horrific                          -10.4532069129          -10.8704523871          -11.3458313795          -10.3461842172          
intimidating                      -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
humbling                          -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
inadequate                        -10.858672021           -10.1773052066          -10.6526841989          -10.3461842172          
overhauled                        -11.5518192016          -10.8704523871          -11.3458313795          -11.0393313978          
goodness                          -10.858672021           -9.95416165526          -11.3458313795          -9.94071910914          
mutual                            -10.858672021           -11.5635995677          -11.3458313795          -11.0393313978          
incredible                        -8.84376900049          -8.92454223808          -8.25478892615          -9.78656842931          
chocolat                          -11.5518192016          -10.8704523871          -10.6526841989          -11.7324785784          
percent                           -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
illinois                          -9.76005973237          -10.464987279           -9.95953701839          -10.1230406659          
other                             -6.8156207532           -6.56638729393          -6.86849456503          -6.57342327915          
sick                              -10.1655248405          -10.8704523871          -10.6526841989          -10.3461842172          
toured                            -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
coffees                           -10.858672021           -10.464987279           -10.6526841989          -10.6338662897          
incredibly                        -9.06691255181          -8.79101084546          -9.04324628651          -8.84210682047          
contacting                        -11.5518192016          -10.464987279           -10.6526841989          -11.0393313978          
conclusion                        -10.858672021           -10.8704523871          -10.6526841989          -11.0393313978          
kinds                             -10.1655248405          -11.5635995677          -11.3458313795          -10.3461842172          
june                              -11.5518192016          -9.2610144747           -9.55407191028          -10.1230406659          
sandwhich                         -10.858672021           -11.5635995677          -10.6526841989          -11.7324785784          
kinda                             -11.5518192016          -10.464987279           -11.3458313795          -10.6338662897          
